record_type,signatory_id,source_signatory,actor_type,actor_name,relationship_family,relationship_subtype,degree,path_status,target_signatory,target_is_coalition_signatory,intermediary,investment_vehicle,direction,confidence_tier,ceo_1hop_audit_tier,ceo_2hop_audit_tier,org_investor_among_signatories,external_investors_into_signatory,notes,data_source,full_path,edge_type_raw
signatory_master,1,AI21,organization,AI21,metadata,signatory_profile,,,,,,,,,"Shoham: sparse angel (Robust Intelligence, Demandline); Goshen: NONE DISCLOSED",NONE DISCLOSED,No,NVIDIA; Google; Intel Capital,Leaders: Yoav Shoham & Ori Goshen. Outbound corp targets: . Investee only [v4 research profile row added],audit_v2,,
signatory_master,2,AMD,organization,AMD,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,INFERRED via Cisco Investments,Yes,,Leaders: Lisa Su. Outbound corp targets: Cohere; Hugging Face. AMD Ventures [v4 research profile row added],audit_v2,,
signatory_master,3,American Innovators Network,organization,American Innovators Network,metadata,signatory_profile,,,,,,,,,VERIFIED ABSENT,VERIFIED ABSENT,VERIFIED ABSENT,,Leaders: Vanessa Day. Outbound corp targets: . Policy coalition [v4 research profile row added],audit_v2,,
signatory_master,4,AMP,organization,AMP,metadata,signatory_profile,,,,,,,,,CONFIRMED GP (AMP; ex-a16z GP),CONFIRMED,Yes,,Leaders: Anjney Midha. Outbound corp targets: Black Forest Labs. Series B co-lead BFL [v4 research profile row added],audit_v2,,
signatory_master,5,Andreessen Horowitz,organization,Andreessen Horowitz,metadata,signatory_profile,,,,,,,,,CONFIRMED firm GP,CONFIRMED,Yes,,Leaders: Marc Andreessen & Ben Horowitz. Outbound corp targets: Mistral; Replit; BFL; Periodic Labs; Genspark; Baseten; Arena; Mariana Minerals; Inferact. Central VC hub [v4 research profile row added],audit_v2,,
signatory_master,6,Arcee AI,organization,Arcee AI,metadata,signatory_profile,,,,,,,,,Sparse angel (Good Start Labs),NONE DISCLOSED,No,Microsoft (M12),Leaders: Mark McQuade. Outbound corp targets: . Investee only [v4 research profile row added],audit_v2,,
signatory_master,7,Arena,organization,Arena,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE DISCLOSED,No,Andreessen Horowitz,Leaders: Anastasios Angelopoulos. Outbound corp targets: . LMArena entity [v4 research profile row added],audit_v2,,
signatory_master,8,Baseten,organization,Baseten,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE DISCLOSED,No,NVIDIA,Leaders: Tuhin Srivastava. Outbound corp targets: . Investee only [v4 research profile row added],audit_v2,,
signatory_master,9,Black Forest Labs,organization,Black Forest Labs,metadata,signatory_profile,,,,,,,,,"CONFIRMED angel (Fal, SpAItial)",NONE DISCLOSED,No,a16z; NVIDIA; Salesforce Ventures,Leaders: Robin Rombach. Outbound corp targets: . Investee only [v4 research profile row added],audit_v2,,
signatory_master,10,Block,organization,Block,metadata,signatory_profile,,,,,,,,,CONFIRMED ICONiQ LP; Block Ventures,CONFIRMED,No,,Leaders: Jack Dorsey. Outbound corp targets: . Corp: fintech/crypto not coalition names [v4 research profile row added],audit_v2,,
signatory_master,11,Box,organization,Box,metadata,signatory_profile,,,,,,,,,CONFIRMED active angel (~27+),CONFIRMED 1-hop only,No,Emergence Capital,Leaders: Aaron Levie. Outbound corp targets: . Box corp CVC: non-signatory targets [v4 research profile row added],audit_v2,,
signatory_master,12,Cisco,organization,Cisco,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE personal,Yes,,Leaders: Chuck Robbins. Outbound corp targets: Cohere; Mistral. Cisco Investments [v4 research profile row added],audit_v2,,
signatory_master,13,Cloudflare,organization,Cloudflare,metadata,signatory_profile,,,,,,,,,CONFIRMED angel,CONFIRMED 1-hop only,No,,Leaders: Matthew Prince. Outbound corp targets: . Workers Launchpad not balance-sheet CVC [v4 research profile row added],audit_v2,,
signatory_master,14,Cohere,organization,Cohere,metadata,signatory_profile,,,,,,,,,CONFIRMED ~10 angels (no signatory overlap),NONE DISCLOSED,No,NVIDIA; AMD; Cisco; Salesforce Ventures; Microsoft ecosystem,Leaders: Aidan Gomez. Outbound corp targets: . Investee only [v4 research profile row added],audit_v2,,
signatory_master,15,CrowdStrike,organization,CrowdStrike,metadata,signatory_profile,,,,,,,,,CONFIRMED ~20 angels (no signatory overlap),NONE DISCLOSED,No,,Leaders: George Kurtz. Outbound corp targets: . Falcon Fund: no signatory overlap [v4 research profile row added],audit_v2,,
signatory_master,16,Dell Technologies,organization,Dell Technologies,metadata,signatory_profile,,,,,,,,,DTC vehicle; sparse angels,NONE personal,Yes,,Leaders: Michael Dell. Outbound corp targets: Prime Intellect. Dell Technologies Capital [v4 research profile row added],audit_v2,,
signatory_master,17,DoorDash,organization,DoorDash,metadata,signatory_profile,,,,,,,,,CONFIRMED ~36-43 angels (no signatory overlap),NONE DISCLOSED,No,,Leaders: Tony Xu. Outbound corp targets: . Meta board = governance not equity [v4 research profile row added],audit_v2,,
signatory_master,18,Emergence Capital,organization,Emergence Capital,metadata,signatory_profile,,,,,,,,,CONFIRMED Emergence GP,CONFIRMED,Yes,,Leaders: Gordon Ritter. Outbound corp targets: Box; Genspark; Arcee AI. VC hub [v4 research profile row added],audit_v2,,
signatory_master,19,Fireworks AI,organization,Fireworks AI,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE DISCLOSED,No,NVIDIA,Leaders: Lin Qiao. Outbound corp targets: . Investee only [v4 research profile row added],audit_v2,,
signatory_master,20,Genspark,organization,Genspark,metadata,signatory_profile,,,,,,,,,UNKNOWN (Guo) / NONE (Jing),NONE DISCLOSED,No,Emergence Capital,Leaders: Stephen Guo (user) / Eric Jing (public). Outbound corp targets: . Public CEO Eric Jing [v4 research profile row added],audit_v2,,
